,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
138,R Powell (DC),2023-2023,3,3,0,7,4,2.33,9,77.77,-,-,-,1,0
139,Mukesh Kumar (DC),2023-2023,10,3,3,7,6*,-,9,77.77,-,-,-,0,0
140,K Kartikeya (MI),2023-2023,8,1,0,6,6,6.00,7,85.71,-,-,-,1,0
141,JP Behrendorff (MI),2023-2023,12,2,2,6,3*,-,9,66.66,-,-,-,0,0
142,CJ Jordan (MI),2023-2023,6,2,0,6,4,3.00,12,50.0,-,-,-,0,0
143,HV Patel (RCB),2023-2023,14,2,0,6,6,3.00,6,100.0,-,-,1,0,1
144,Mohammed Shami (GT),2023-2023,17,2,0,5,5,2.50,6,83.33,-,-,1,1,0
145,Litton Das (KKR),2023-2023,1,1,0,4,4,4.00,4,100.0,-,-,-,1,0
146,JC Archer (MI),2023-2023,5,2,2,4,3*,-,4,100.0,-,-,-,0,0
147,C Sakariya (DC),2023-2023,2,2,1,4,4,4.00,6,66.66,-,-,-,1,0
148,KV Sharma (RCB),2023-2023,7,2,0,3,2,1.50,5,60.0,-,-,-,0,0
149,VG Arora (KKR),2023-2023,5,2,2,3,2*,-,2,150.0,-,-,-,0,0
