,Unnamed: 0,Player,Team,Uptox_Points,Matches,Runs,Wkts
117,117,Vaibhav Arora,KKR,125.6,5,3,5
118,118,Harry Brook,SRH,121.8,11,190,-
119,119,Atharva Taide,PBKS,121.6,7,186,-
120,120,Aman Hakim Khan,DC,115.1,11,110,-
121,121,Mitchell Santner,CSK,112.9,3,2,3
122,122,Abhinav Manohar,GT,112.7,9,114,-
123,123,Mahipal Lomror,RCB,104.9,12,135,-
124,124,Washington Sundar,SRH,103.9,7,60,3
125,125,Fazalhaq Farooqi,SRH,99.1,4,1,4
126,126,Anmolpreet Singh,SRH,94.4,4,105,-
127,127,Jofra Archer,MI,92.7,5,4,2
128,128,Akash Singh,CSK,92.4,6,0,5
129,129,Hrithik Shokeen,MI,90.7,8,23,3
130,130,Yudhvir Singh,LSG,88.2,3,1,3
131,131,Rajvardhan Hangargekar,CSK,87.2,2,0,3
132,132,Anukul Roy,KKR,85.4,4,23,3
133,133,Dinesh Karthik,RCB,84.0,13,140,-
134,134,Lalit Yadav,DC,81.2,6,66,2
135,135,Glenn Phillips,SRH,80.9,5,39,1
136,136,Prithvi Shaw,DC,80.4,8,106,-
137,137,Prerak Mankad,LSG,78.6,5,93,-
138,138,Josh Hazlewood,RCB,77.7,3,1,3
139,139,Anuj Rawat,RCB,77.2,9,91,-
140,140,Arjun Tendulkar,MI,75.8,4,13,3
141,141,Rahul Tewatia,GT,73.5,17,87,-
142,142,Rishi Dhawan,PBKS,73.5,6,20,1
143,143,Chris Jordan,MI,64.2,6,6,3
144,144,Arshad Khan,MI,63.1,6,18,5
145,145,Harpreet Singh,PBKS,61.9,3,76,-
146,146,Mohsin Khan,LSG,59.8,5,0,3
147,147,Vivrant Sharma,SRH,58.6,3,69,-
148,148,Chetan Sakariya,DC,58.2,2,4,3
149,149,KM Asif,RR,57.8,4,0,3
150,150,Umesh Yadav,KKR,57.4,8,19,1
151,151,Navdeep Saini,RR,54.8,2,0,3
152,152,Mayank Dagar,SRH,53.6,3,0,1
153,153,Jason Holder,RR,53.2,8,12,4
154,154,Riyan Parag,RR,49.5,7,78,-
155,155,Ripal Patel,DC,41.4,5,49,-
156,156,Bhanuka Rajapaksa,PBKS,41.0,4,71,-
157,157,Umran Malik,SRH,40.6,8,19,5
158,158,Akeal Hosein,SRH,38.4,1,16,1
159,159,Reece Topley,RCB,38.1,1,0,1
160,160,Kuldip Yadav,RR,36.3,2,0,2
161,161,Suyash Prabhudessai,RCB,32.3,5,54,-
162,162,Narayan Jagadeesan,KKR,30.0,6,89,-
163,163,Adil Rashid,SRH,28.9,2,22,2
164,164,Praveen Dubey,DC,27.8,1,16,1
165,165,Abishek Porel,DC,27.1,4,33,-
166,166,David Wiese,KKR,22.7,3,21,-
167,167,Akash Deep,RCB,20.0,2,17,1
168,168,Rovman Powell,DC,15.4,3,7,1
169,169,Tim Southee,KKR,13.8,2,0,2
170,170,Dwaine Pretorius,CSK,13.6,1,0,-
171,171,Sisanda Magala,CSK,13.5,2,0,1
172,172,Mustafizur Rahman,DC,11.6,2,1,1
173,173,Duan Jansen,MI,11.6,1,0,1
174,174,Priyam Garg,DC,11.5,2,22,-
175,175,Darshan Nalkande,GT,10.9,1,0,1
176,176,Sanvir Singh,SRH,10.2,2,11,-
177,177,Yash Dayal,GT,9.9,5,0,2
178,178,Mandeep Singh,KKR,9.8,3,14,-
179,179,Lockie Ferguson,KKR,9.7,3,0,1
180,180,Joe Root,RR,9.3,3,10,-
181,181,Manan Vohra,LSG,7.6,1,10,-
182,182,Vishnu Vinod,MI,7.3,3,37,-
183,183,Kuldeep Sen,RR,7.0,2,0,-
184,184,Jayant Yadav,GT,6.8,1,0,-
185,185,Himanshu Sharma,RCB,6.6,1,0,-
186,186,Dasun Shanaka,GT,6.2,3,26,-
187,187,Litton Das,KKR,5.2,1,4,-
188,188,Nitish Kumar Reddy,SRH,5.0,2,0,-
189,189,Tristan Stubbs,MI,3.6,2,25,1
190,190,Obed McCoy,RR,2.4,1,0,-
191,191,Deepak Hooda,LSG,2.4,12,84,-
192,192,Kulwant Khejroliya,KKR,1.2,2,0,2
193,193,Swapnil Singh,LSG,0.9,2,2,-
