,Player,Team,Impact/Mat,Total Impact,Matches,Runs,Wkts
105,106Anrich Nortje,DC,25.8,155.1,6,1,9
106,107Kieron Pollard,MI,13.6,150.3,11,144,4
107,108Sam Billings,KKR,18.7,149.9,8,169,-
108,109Jagadeesha Suchith,SRH,28.7,143.7,5,2,7
109,110Krishnappa Gowtham,LSG,34.4,137.8,4,0,5
110,111Mitchell Santner,CSK,21.9,131.6,6,22,4
111,112Sai Sudharsan,GT,25.5,127.7,5,145,-
112,113Matthew Wade,GT,12.7,127.5,10,157,-
113,114Basil Thampi,MI,24.5,122.5,5,0,5
114,115Chetan Sakariya,DC,39.6,119.0,3,0,3
115,116Abhinav Manohar,GT,14.4,115.2,8,108,-
116,117Venkatesh Iyer,KKR,9.5,114.2,12,182,-
117,118Sandeep Sharma,PBKS,21.7,108.9,5,0,2
118,119Romario Shepherd,SRH,36.1,108.5,3,58,3
119,120Sai Kishore,GT,21.6,108.2,5,0,6
120,121Sarfaraz Khan,DC,17.9,107.6,6,91,-
121,122Ramandeep Singh,MI,20.8,104.4,5,45,6
122,123Odean Smith,PBKS,17.1,103.0,6,51,6
123,124Pradeep Sangwan,GT,34.2,102.6,3,2,3
124,125Simarjeet Singh,CSK,16.8,101.1,6,7,4
125,126Tymal Mills,MI,20.0,100.3,5,0,6
126,127Harpreet Brar,PBKS,19.2,96.4,5,22,4
127,128Ajinkya Rahane,KKR,13.4,94.1,7,133,-
128,129Aaron Finch,KKR,18.6,93.1,5,86,-
129,130Mahipal Lomror,RCB,12.3,86.2,7,86,-
130,131Kumar Kartikeya,MI,20.7,82.8,4,3,5
131,132Vaibhav Arora,PBKS,16.0,80.2,5,5,3
132,133Shashank Singh,SRH,7.5,75.8,10,69,-
133,134Shivam Mavi,KKR,12.5,75.5,6,3,5
134,135Hrithik Shokeen,MI,14.9,74.8,5,43,2
135,136Anuj Rawat,RCB,9.3,74.5,8,129,-
136,137Fazalhaq Farooqi,SRH,24.7,74.1,3,2,2
137,138Akash Deep,RCB,14.4,72.2,5,0,5
138,139Suyash Prabhudessai,RCB,12.7,63.6,5,67,-
139,140David Willey,RCB,15.3,61.4,4,18,1
140,141Prashant Solanki,CSK,29.2,58.5,2,0,2
141,142Evin Lewis,LSG,9.2,55.4,6,73,-
142,143M Shahrukh Khan,PBKS,6.8,54.5,8,117,-
143,144Manish Pandey,LSG,9.0,54.0,6,88,-
144,145Priyam Garg,SRH,22.5,45.0,2,46,-
145,146Tushar Deshpande,CSK,21.0,42.1,2,0,1
146,147Matheesha Pathirana,CSK,19.9,39.8,2,0,2
147,148Kane Williamson,SRH,2.9,38.6,13,216,-
148,149Kartik Tyagi,SRH,18.6,37.3,2,7,1
149,150Nathan Ellis,PBKS,18.3,36.7,2,0,3
150,151Andrew Tye,LSG,11.8,35.6,3,0,2
151,152Narayan Jagadeesan,CSK,15.7,31.5,2,40,-
152,153Darshan Nalkande,GT,15.6,31.3,2,0,2
153,154Mayank Markande,MI,15.3,30.6,2,0,1
154,155Sean Abbott,SRH,29.4,29.4,1,7,1
155,156Shreyas Gopal,SRH,28.5,28.5,1,9,1
156,157Manan Vohra,LSG,14.2,28.5,2,19,-
157,158Navdeep Saini,RR,12.9,25.8,2,2,3
158,159Rasikh Salam,KKR,11.9,23.8,2,7,-
159,160Fabian Allen,MI,23.2,23.2,1,8,1
160,161Varun Aaron,GT,10.4,20.9,2,0,2
161,162Tim Seifert,DC,10.4,20.9,2,24,-
162,163Harshit Rana,KKR,10.4,20.9,2,2,1
163,164Chris Jordan,CSK,4.5,18.1,4,11,2
164,165Prabhsimran Singh,PBKS,16.8,16.8,1,14,-
165,166Anukul Roy,KKR,7.9,15.9,2,0,1
166,167James Neesham,RR,6.8,13.7,2,31,-
167,168Ripal Patel,DC,3.6,7.3,2,6,-
168,169Srikar Bharat,DC,3.6,7.2,2,8,-
169,170Karan Sharma,LSG,5.2,5.2,1,4,-
170,171Prerak Mankad,PBKS,4.4,4.4,1,4,-
171,172Adam Milne,CSK,4.2,4.2,1,0,-
172,173Anmolpreet Singh,MI,0.5,1.0,2,13,-
173,174Aman Hakim Khan,KKR,0.5,0.5,1,5,-
174,175Raj Bawa,PBKS,-0.2,-0.4,2,11,-
175,176Siddarth Kaul,RCB,-1.4,-1.4,1,0,-
176,177Mandeep Singh,DC,-0.6,-1.7,3,18,-
177,178Rassie van der Dussen,RR,-0.6,-1.7,3,22,-
178,179Sherfane Rutherford,RCB,-0.7,-2.1,3,33,-
179,180Abdul Samad,SRH,-1.7,-3.3,2,4,-
180,181Tristan Stubbs,MI,-1.7,-3.4,2,2,-
181,182Sanjay Yadav,MI,-4.7,-4.7,1,0,-
182,183Karun Nair,RR,-2.0,-5.9,3,16,-
183,184Sheldon Jackson,KKR,-1.3,-6.3,5,23,-
184,185Baba Indrajith,KKR,-2.5,-7.4,3,21,-
185,186Kamlesh Nagarkoti,DC,-10.2,-10.2,1,0,-
186,187Abhijeet Tomar,KKR,-11.7,-11.7,1,4,-
187,188Nathan Coulter-Nile,RR,-16.8,-16.8,1,1,-
188,189Daryl Mitchell,RR,-10.3,-20.5,2,33,-
189,190Vijay Shankar,GT,-8.5,-33.9,4,19,-
