,Player,Team,Impact/Mat,Total Impact,Matches,Runs,Wkts
0,1Avesh Khan,DC,43.6,698.7,16,5,24
1,2Glenn Maxwell,RCB,46.5,697.9,15,513,3
2,3Ruturaj Gaikwad,CSK,41.3,661.4,16,635,-
3,4Prithvi Shaw,DC,43.4,651.2,15,479,-
4,5Faf du Plessis,CSK,39.5,632.3,16,633,-
5,6Rashid Khan,SRH,44.6,625.4,14,83,18
6,7KL Rahul,PBKS,46.2,600.9,13,626,-
7,8Sunil Narine,KKR,42.3,593.2,14,62,16
8,9Harshal Patel,RCB,38.6,580.3,15,59,32
9,10Shikhar Dhawan,DC,36.1,578.9,16,587,-
10,11Ravindra Jadeja,CSK,36.0,576.2,16,227,13
11,12Varun Chakravarthy,KKR,31.0,527.4,17,2,18
12,13Yuzvendra Chahal,RCB,34.1,512.1,15,10,18
13,14Mayank Agarwal,PBKS,42.6,511.8,12,441,-
14,15Jasprit Bumrah,MI,35.6,498.5,14,16,21
15,16Shubman Gill,KKR,28.5,484.5,17,478,-
16,17Venkatesh Iyer,KKR,46.6,466.4,10,370,3
17,18Shardul Thakur,CSK,28.9,463.2,16,5,21
18,19Mohammed Shami,PBKS,32.9,461.2,14,13,19
19,20Sanju Samson,RR,32.6,457.2,14,484,-
20,21Moeen Ali,CSK,29.8,448.0,15,357,6
21,22Axar Patel,DC,36.4,436.9,12,40,15
22,23Jason Holder,SRH,54.4,435.6,8,85,16
23,24Devdutt Padikkal,RCB,30.5,427.6,14,411,-
24,25Rahul Tripathi,KKR,24.9,423.4,17,397,-
25,26Deepak Chahar,CSK,28.2,423.2,15,1,14
26,27Kieron Pollard,MI,29.5,413.9,14,245,5
27,28Rahul Chahar,MI,37.0,407.2,11,14,13
28,29Mohammed Siraj,RCB,26.9,404.6,15,20,11
29,30Rohit Sharma,MI,30.8,401.2,13,381,-
30,31Chetan Sakariya,RR,28.4,398.3,14,16,14
31,32Rishabh Pant,DC,24.7,395.5,16,419,-
32,33Nitish Rana,KKR,22.3,379.4,17,383,-
33,34Kagiso Rabada,DC,25.2,379.0,15,13,15
34,35Andre Russell,KKR,37.6,376.1,10,183,11
35,36Arshdeep Singh,PBKS,31.2,374.5,12,2,18
36,37Suryakumar Yadav,MI,26.4,370.8,14,317,-
37,38Anrich Nortje,DC,46.3,370.7,8,0,12
38,39Virat Kohli,RCB,23.3,350.1,15,405,-
39,40AB de Villiers,RCB,23.0,346.4,15,313,-
40,41Trent Boult,MI,24.6,345.1,14,1,13
41,42Jonny Bairstow,SRH,46.3,324.6,7,248,-
42,43Shimron Hetmyer,DC,23.1,324.5,14,242,-
43,44Mustafizur Rahman,RR,23.1,324.1,14,8,14
44,45Chris Morris,RR,29.1,320.5,11,67,15
45,46Yashasvi Jaiswal,RR,31.9,319.1,10,249,-
46,47Dwayne Bravo,CSK,28.5,314.0,11,47,14
47,48Sam Curran,CSK,34.5,311.1,9,56,9
48,49Ravi Bishnoi,PBKS,33.9,305.2,9,1,12
49,50Ambati Rayudu,CSK,18.7,299.2,16,257,-
50,51Pat Cummins,KKR,40.4,283.3,7,93,9
51,52Jos Buttler,RR,39.7,278.5,7,254,-
52,53Lockie Ferguson,KKR,34.6,277.5,8,18,13
53,54Prasidh Krishna,KKR,27.2,272.2,10,0,12
54,55Rahul Tewatia,RR,18.5,259.2,14,155,8
55,56Shahbaz Ahmed,RCB,23.3,256.8,11,59,7
56,57Quinton de Kock,MI,22.0,242.2,11,297,-
57,58Shivam Mavi,KKR,26.9,242.1,9,25,11
58,59Josh Hazlewood,CSK,26.3,237.4,9,0,11
59,60Kyle Jamieson,RCB,26.1,235.2,9,65,9
60,61Harpreet Brar,PBKS,32.5,227.5,7,64,5
61,62Evin Lewis,RR,45.4,227.0,5,151,-
62,63Kane Williamson,SRH,22.5,225.7,10,266,-
63,64Manish Pandey,SRH,26.8,215.0,8,292,-
64,65Ravichandran Ashwin,DC,16.4,213.6,13,44,7
65,66Krunal Pandya,MI,16.4,213.2,13,143,5
66,67Dinesh Karthik,KKR,12.2,208.8,17,223,-
67,68Ishan Kishan,MI,19.9,199.1,10,241,-
68,69Abhishek Sharma,SRH,24.7,197.8,8,98,4
69,70Srikar Bharat,RCB,24.3,194.7,8,191,-
70,71Chris Gayle,PBKS,19.2,192.6,10,193,-
71,72Deepak Hooda,PBKS,16.0,192.3,12,160,2
72,73M Shahrukh Khan,PBKS,17.4,191.9,11,153,-
73,74Bhuvneshwar Kumar,SRH,16.6,182.8,11,34,6
74,75Chris Woakes,DC,59.6,179.0,3,15,5
75,76Shivam Dube,RR,18.3,164.9,9,230,-
76,77David Warner,SRH,20.5,164.3,8,195,-
77,78Amit Mishra,DC,39.6,158.7,4,0,6
78,79Moises Henriques,PBKS,31.4,157.1,5,31,4
79,80Jaydev Unadkat,RR,25.3,152.3,6,41,4
80,81Jason Roy,SRH,29.8,149.1,5,150,-
81,82Aiden Markram,PBKS,24.6,148.0,6,146,-
82,83Nathan Coulter-Nile,MI,28.7,143.6,5,4,7
83,84Mahipal Lomror,RR,34.9,139.6,4,94,1
84,85Abdul Samad,SRH,12.1,134.1,11,111,1
85,86Tom Curran,DC,43.5,130.6,3,21,4
86,87Suresh Raina,CSK,10.7,129.3,12,160,-
87,88Robin Uthappa,CSK,32.2,129.1,4,115,-
88,89Siddarth Kaul,SRH,15.9,127.7,8,8,7
89,90Lalit Yadav,DC,18.1,127.3,7,68,4
90,91David Miller,RR,13.4,120.9,9,124,-
91,92Vijay Shankar,SRH,17.2,120.8,7,58,3
92,93Steven Smith,DC,14.9,119.6,8,152,-
93,94Riley Meredith,PBKS,23.2,116.1,5,0,4
94,95Khaleel Ahmed,SRH,16.5,115.8,7,1,5
95,96Saurabh Tiwary,MI,22.9,114.7,5,115,-
96,97Lungi Ngidi,CSK,38.2,114.7,3,0,5
97,98Shakib Al Hasan,KKR,14.2,114.3,8,47,4
98,99Shreyas Iyer,DC,14.0,112.7,8,175,-
99,100Chris Jordan,PBKS,28.0,112.2,4,32,4
100,101Jayant Yadav,MI,21.5,107.6,5,34,2
101,102Wriddhiman Saha,SRH,10.9,98.6,9,131,-
102,103Kartik Tyagi,RR,24.5,98.1,4,2,4
103,104Marcus Stoinis,DC,8.2,82.7,10,89,2
104,105James Neesham,MI,26.6,79.9,3,0,5
105,106Hardik Pandya,MI,6.5,78.8,12,127,-
106,107Washington Sundar,RCB,13.1,78.7,6,31,3
107,108Sandeep Sharma,SRH,11.0,77.6,7,8,3
108,109Jhye Richardson,PBKS,25.0,75.2,3,15,3
109,110Mohammad Nabi,SRH,21.5,64.6,3,34,2
110,111Chris Lynn,MI,64.3,64.3,1,49,-
111,112Marco Jansen,MI,30.3,60.6,2,0,2
112,113Ishant Sharma,DC,19.6,58.9,3,0,1
113,114Umran Malik,SRH,19.6,58.8,3,0,2
114,115Adam Milne,MI,14.3,57.2,4,16,3
115,116T Natarajan,SRH,26.5,53.1,2,0,2
116,117Eoin Morgan,KKR,2.9,50.3,17,133,-
117,118George Garton,RCB,10.0,50.1,5,2,3
118,119Daniel Sams,RCB,24.3,48.7,2,6,1
119,120MS Dhoni,CSK,3.0,48.0,16,114,-
120,121Nicholas Pooran,PBKS,3.9,47.9,12,85,-
121,122Tim Southee,KKR,15.3,46.0,3,3,3
122,123Mujeeb Ur Rahman,SRH,42.5,42.5,1,1,2
123,124Nathan Ellis,PBKS,14.1,42.4,3,18,1
124,125Rajat Patidar,RCB,10.4,41.6,4,71,-
125,126Riyan Parag,RR,3.6,40.2,11,93,1
126,127Dan Christian,RCB,4.3,39.3,9,14,4
127,128Priyam Garg,SRH,7.5,37.6,5,72,-
128,129KM Asif,CSK,36.4,36.4,1,0,1
129,130Kedar Jadhav,SRH,5.9,35.5,6,55,-
130,131Ishan Porel,PBKS,35.3,35.3,1,0,1
131,132Glenn Phillips,RR,10.4,31.2,3,26,1
132,133Manan Vohra,RR,6.4,25.7,4,42,-
133,134Jagadeesha Suchith,SRH,12.3,24.7,2,14,-
134,135Ripal Patel,DC,10.7,21.4,2,25,-
135,136Lukman Meriwala,DC,20.7,20.7,1,0,1
136,137Anmolpreet Singh,MI,19.6,19.6,1,16,-
137,138Imran Tahir,CSK,17.4,17.4,1,0,2
138,139Liam Livingstone,RR,3.4,17.0,5,42,-
139,140Piyush Chawla,MI,16.2,16.2,1,0,1
140,141Harbhajan Singh,KKR,5.0,15.0,3,4,-
141,142Mandeep Singh,PBKS,14.1,14.1,1,15,-
142,143Murugan Ashwin,PBKS,4.5,13.6,3,15,1
143,144Kane Richardson,RCB,12.1,12.1,1,0,1
144,145Mayank Markande,RR,11.7,11.7,1,0,-
145,146Shahbaz Nadeem,SRH,10.5,10.5,1,0,1
146,147Akash Singh,RR,10.2,10.2,1,0,-
147,148Jalaj Saxena,PBKS,8.6,8.6,1,0,-
148,149Dhawal Kulkarni,MI,7.8,7.8,1,0,-
149,150Ajinkya Rahane,DC,3.3,6.6,2,8,-
150,151Dawid Malan,PBKS,2.9,2.9,1,26,-
151,152Shreyas Gopal,RR,0.7,2.3,3,7,-
152,153Sandeep Warrier,KKR,0.3,0.3,1,0,-
153,154Anuj Rawat,RR,-0.8,-1.6,2,0,-
154,155Fabian Allen,PBKS,-0.7,-2.6,4,6,1
155,156Kuldip Yadav,RR,-4.0,-4.0,1,0,-
156,157Prabhsimran Singh,PBKS,-2.1,-4.2,2,19,-
157,158Adil Rashid,PBKS,-4.7,-4.7,1,0,-
158,159Kamlesh Nagarkoti,KKR,-5.3,-5.3,1,0,-
159,160Tim David,RCB,-6.4,-6.4,1,1,-
160,161Tim Seifert,KKR,-6.9,-6.9,1,2,-
161,162Sarfaraz Khan,PBKS,-3.7,-7.4,2,0,-
162,163Tabraiz Shamsi,RR,-8.7,-8.7,1,2,-
163,164Sachin Baby,RCB,-9.3,-9.3,1,7,-
164,165Ben Stokes,RR,-9.4,-9.4,1,0,-
165,166Wanindu Hasaranga,RCB,-5.9,-11.8,2,1,-
166,167Virat Singh,SRH,-6.5,-19.5,3,15,-
167,168Navdeep Saini,RCB,-11.1,-22.1,2,2,-
