,Player,Team,Impact/Mat,Total Impact,Matches,Runs,Wkts
105,106Michael Bracewell,RCB,29.9,149.5,5,58,6
106,107Karn Sharma,RCB,21.1,148.1,7,3,10
107,108Harshit Rana,KKR,24.6,147.8,6,0,5
108,109Vijaykumar Vyshak,RCB,21.0,147.4,7,13,9
109,110Manish Pandey,DC,14.4,144.4,10,160,-
110,111MS Dhoni,CSK,8.8,141.9,16,104,-
111,112Ambati Rayudu,CSK,8.8,141.2,16,158,-
112,113Abdul Samad,SRH,15.5,139.6,9,169,-
113,114Amit Mishra,LSG,19.5,136.6,7,19,7
114,115Mukesh Kumar,DC,13.4,134.9,10,7,7
115,116Matthew Short,PBKS,22.4,134.8,6,117,-
116,117Quinton de Kock,LSG,32.5,130.2,4,143,-
117,118Vaibhav Arora,KKR,25.1,125.6,5,3,5
118,119Harry Brook,SRH,11.0,121.8,11,190,-
119,120Atharva Taide,PBKS,17.3,121.6,7,186,-
120,121Aman Hakim Khan,DC,10.4,115.1,11,110,-
121,122Mitchell Santner,CSK,37.6,112.9,3,2,3
122,123Abhinav Manohar,GT,12.5,112.7,9,114,-
123,124Mahipal Lomror,RCB,8.7,104.9,12,135,-
124,125Washington Sundar,SRH,14.8,103.9,7,60,3
125,126Fazalhaq Farooqi,SRH,24.7,99.1,4,1,4
126,127Anmolpreet Singh,SRH,23.6,94.4,4,105,-
127,128Jofra Archer,MI,18.5,92.7,5,4,2
128,129Akash Singh,CSK,15.4,92.4,6,0,5
129,130Hrithik Shokeen,MI,11.3,90.7,8,23,3
130,131Yudhvir Singh,LSG,29.4,88.2,3,1,3
131,132Rajvardhan Hangargekar,CSK,43.6,87.2,2,0,3
132,133Anukul Roy,KKR,21.3,85.4,4,23,3
133,134Dinesh Karthik,RCB,6.4,84.0,13,140,-
134,135Lalit Yadav,DC,13.5,81.2,6,66,2
135,136Glenn Phillips,SRH,16.1,80.9,5,39,1
136,137Prithvi Shaw,DC,10.0,80.4,8,106,-
137,138Prerak Mankad,LSG,15.7,78.6,5,93,-
138,139Josh Hazlewood,RCB,25.9,77.7,3,1,3
139,140Anuj Rawat,RCB,8.5,77.2,9,91,-
140,141Arjun Tendulkar,MI,18.9,75.8,4,13,3
141,142Rahul Tewatia,GT,4.3,73.5,17,87,-
142,143Rishi Dhawan,PBKS,12.2,73.5,6,20,1
143,144Chris Jordan,MI,10.7,64.2,6,6,3
144,145Arshad Khan,MI,10.5,63.1,6,18,5
145,146Harpreet Singh,PBKS,20.6,61.9,3,76,-
146,147Mohsin Khan,LSG,11.9,59.8,5,0,3
147,148Vivrant Sharma,SRH,19.5,58.6,3,69,-
148,149Chetan Sakariya,DC,29.1,58.2,2,4,3
149,150KM Asif,RR,14.4,57.8,4,0,3
150,151Umesh Yadav,KKR,7.1,57.4,8,19,1
151,152Navdeep Saini,RR,27.4,54.8,2,0,3
152,153Mayank Dagar,SRH,17.8,53.6,3,0,1
153,154Jason Holder,RR,6.6,53.2,8,12,4
154,155Riyan Parag,RR,7.0,49.5,7,78,-
155,156Ripal Patel,DC,8.2,41.4,5,49,-
156,157Bhanuka Rajapaksa,PBKS,10.2,41.0,4,71,-
157,158Umran Malik,SRH,5.0,40.6,8,19,5
158,159Akeal Hosein,SRH,38.4,38.4,1,16,1
159,160Reece Topley,RCB,38.1,38.1,1,0,1
160,161Kuldip Yadav,RR,18.1,36.3,2,0,2
161,162Suyash Prabhudessai,RCB,6.4,32.3,5,54,-
162,163Narayan Jagadeesan,KKR,5.0,30.0,6,89,-
163,164Adil Rashid,SRH,14.4,28.9,2,22,2
164,165Praveen Dubey,DC,27.8,27.8,1,16,1
165,166Abishek Porel,DC,6.7,27.1,4,33,-
166,167David Wiese,KKR,7.5,22.7,3,21,-
167,168Akash Deep,RCB,10.0,20.0,2,17,1
168,169Rovman Powell,DC,5.1,15.4,3,7,1
169,170Tim Southee,KKR,6.9,13.8,2,0,2
170,171Dwaine Pretorius,CSK,13.6,13.6,1,0,-
171,172Sisanda Magala,CSK,6.7,13.5,2,0,1
172,173Mustafizur Rahman,DC,5.8,11.6,2,1,1
173,174Duan Jansen,MI,11.6,11.6,1,0,1
174,175Priyam Garg,DC,5.7,11.5,2,22,-
175,176Darshan Nalkande,GT,10.9,10.9,1,0,1
176,177Sanvir Singh,SRH,5.1,10.2,2,11,-
177,178Yash Dayal,GT,1.9,9.9,5,0,2
178,179Mandeep Singh,KKR,3.2,9.8,3,14,-
179,180Lockie Ferguson,KKR,3.2,9.7,3,0,1
180,181Joe Root,RR,3.1,9.3,3,10,-
181,182Manan Vohra,LSG,7.6,7.6,1,10,-
182,183Vishnu Vinod,MI,2.4,7.3,3,37,-
183,184Kuldeep Sen,RR,3.5,7.0,2,0,-
184,185Jayant Yadav,GT,6.8,6.8,1,0,-
185,186Himanshu Sharma,RCB,6.6,6.6,1,0,-
186,187Dasun Shanaka,GT,2.0,6.2,3,26,-
187,188Litton Das,KKR,5.2,5.2,1,4,-
188,189Nitish Kumar Reddy,SRH,2.5,5.0,2,0,-
189,190Tristan Stubbs,MI,1.8,3.6,2,25,1
190,191Obed McCoy,RR,2.4,2.4,1,0,-
191,192Deepak Hooda,LSG,0.2,2.4,12,84,-
192,193Kulwant Khejroliya,KKR,0.6,1.2,2,0,2
193,194Swapnil Singh,LSG,0.4,0.9,2,2,-
194,195Kane Williamson,GT,0.0,0.0,1,0,-
195,196Abdul Basith,RR,-0.3,-0.3,1,1,-
196,197Sarfaraz Khan,DC,-0.2,-0.7,4,53,-
197,198Romario Shepherd,LSG,-0.7,-0.7,1,0,-
198,199Raghav Goyal,MI,-1.7,-1.7,1,0,-
199,200Gurnoor Brar,PBKS,-3.5,-3.5,1,0,-
200,201Kedar Jadhav,RCB,-1.8,-3.5,2,12,-
201,202Yash Dhull,DC,-2.1,-8.1,4,16,-
202,203Shahbaz Ahmed,RCB,-0.9,-8.6,10,42,1
203,204Murugan Ashwin,RR,-4.5,-8.9,2,0,-
204,205Karan Sharma,LSG,-4.5,-9.0,2,12,-
205,206Ben Stokes,CSK,-4.9,-9.8,2,15,-
206,207Mohit Rathee,PBKS,-9.9,-9.9,1,1,-
207,208Jaydev Unadkat,LSG,-3.9,-11.5,3,9,-
208,209Kartik Tyagi,SRH,-4.6,-13.6,3,0,1
